t,power
0.0,268
1.0,282
2.0,236
3.0,225
4.0,209
5.0,209
6.0,200
7.0,201
8.0,202
9.0,188
10.0,186
11.0,191
12.0,175
13.0,207
14.0,207
15.0,213
16.0,200
17.0,205
18.0,205
19.0,209
20.0,212
21.0,194
22.0,194
23.0,194
24.0,187
25.0,196
26.0,200
27.0,200
28.0,216
29.0,218
30.0,196
31.0,196
32.0,201
33.0,201
34.0,200
35.0,204
36.0,195
37.0,208
38.0,217
39.0,204
40.0,204
41.0,202
42.0,189
43.0,203
44.0,203
45.0,206
46.0,201
47.0,201
48.0,201
49.0,201
50.0,205
51.0,199
52.0,200
53.0,200
54.0,195
55.0,204
56.0,205
57.0,205
58.0,203
59.0,199
60.0,201
61.0,201
62.0,203
63.0,203
64.0,203
65.0,203
66.0,203
67.0,197
68.0,207
69.0,183
70.0,183
71.0,187
72.0,226
73.0,203
74.0,203
75.0,203
76.0,197
77.0,196
78.0,201
79.0,201
80.0,214
81.0,209
82.0,216
83.0,216
84.0,220
85.0,201
86.0,202
87.0,202
88.0,204
89.0,201
90.0,197
91.0,207
92.0,207
93.0,202
94.0,209
95.0,207
96.0,207
97.0,212
98.0,207
99.0,199
100.0,199
101.0,207
102.0,208
103.0,198
104.0,198
105.0,205
106.0,202
107.0,212
108.0,198
109.0,198
110.0,206
111.0,215
112.0,210
113.0,210
114.0,198
115.0,216
116.0,202
117.0,202
118.0,200
119.0,196
120.0,196
121.0,196
122.0,211
123.0,204
124.0,205
125.0,210
126.0,210
127.0,198
128.0,203
129.0,206
130.0,206
131.0,198
132.0,204
133.0,198
134.0,198
135.0,198
136.0,194
137.0,199
138.0,199
139.0,228
140.0,203
141.0,200
142.0,221
143.0,221
144.0,208
145.0,207
146.0,209
147.0,217
148.0,207
149.0,190
150.0,183
151.0,199
152.0,199
153.0,196
154.0,221
155.0,221
156.0,205
157.0,205
158.0,205
159.0,205
160.0,196
161.0,194
162.0,206
163.0,206
164.0,206
165.0,203
166.0,206
167.0,205
168.0,205
169.0,204
170.0,196
171.0,208
172.0,208
173.0,220
174.0,213
175.0,200
176.0,200
177.0,198
178.0,202
179.0,217
180.0,206
181.0,206
182.0,198
183.0,209
184.0,200
185.0,200
186.0,197
187.0,206
188.0,207
189.0,214
190.0,205
191.0,198
192.0,196
193.0,203
194.0,203
195.0,209
196.0,208
197.0,209
198.0,209
199.0,213
200.0,214
201.0,193
202.0,193
203.0,191
204.0,199
205.0,204
206.0,203
207.0,203
208.0,194
209.0,195
210.0,223
211.0,223
212.0,205
213.0,195
214.0,208
215.0,208
216.0,208
217.0,207
218.0,213
219.0,195
220.0,195
221.0,203
222.0,200
223.0,201
224.0,201
225.0,208
226.0,211
227.0,206
228.0,206
229.0,212
230.0,211
231.0,195
232.0,193
233.0,193
234.0,223
235.0,210
236.0,209
237.0,209
238.0,195
239.0,193
240.0,215
241.0,215
242.0,220
243.0,205
244.0,198
245.0,198
246.0,203
247.0,202
248.0,202
249.0,218
250.0,218
251.0,215
252.0,206
253.0,203
254.0,203
255.0,203
256.0,202
257.0,209
258.0,209
259.0,212
260.0,212
261.0,212
262.0,220
263.0,196
264.0,195
265.0,194
266.0,212
267.0,212
268.0,206
269.0,202
270.0,199
